x,y,z
270.825,22.9827,79.7
270.8416,22.9827,81.1
270.8583,22.9827,81.8
270.875,22.9827,82.2
270.8917,22.9827,82.2
270.9083,22.9827,81.5
270.925,22.9827,80.2
270.9417,22.9827,78.2
270.9583,22.9827,76.2
270.975,22.9827,74.2
270.9916,22.9827,72.1
271.0083,22.9827,69.9
271.025,22.9827,67.7
271.0417,22.9827,65.7
271.0583,22.9827,64.2
271.075,22.9827,63.2
271.0916,22.9827,62.5
271.1083,22.9827,61.9
271.125,22.9827,61.2
271.1417,22.9827,60.5
271.1583,22.9827,60.1
271.175,22.9827,59.8
271.1917,22.9827,59.6
271.2083,22.9827,59.6
271.225,22.9827,59.8
271.2416,22.9827,59.8
271.2583,22.9827,59.2
271.275,22.9827,58.2
271.2917,22.9827,57.3
271.3083,22.9827,56.9
271.325,22.9827,56.9
271.3416,22.9827,56.4
271.3583,22.9827,54.9
271.375,22.9827,53.0
271.3917,22.9827,51.4
271.4083,22.9827,50.8
271.425,22.9827,50.8
271.4417,22.9827,50.5
271.4583,22.9827,49.4
271.475,22.9827,48.1
271.4916,22.9827,47.4
271.5083,22.9827,47.4
271.525,22.9827,47.5
271.5417,22.9827,47.2
271.5583,22.9827,46.3
271.575,22.9827,45.1
271.5916,22.9827,43.9
271.6083,22.9827,42.8
271.625,22.9827,41.9
271.6417,22.9827,40.8
271.6583,22.9827,39.4
271.675,22.9827,38.3
271.6917,22.9827,37.8
271.7083,22.9827,37.5
271.725,22.9827,36.8
271.7416,22.9827,35.8
271.7583,22.9827,34.7
271.775,22.9827,33.7
271.7917,22.9827,32.8
271.8083,22.9827,32.3
271.825,22.9827,32.1
271.8416,22.9827,32.2
271.8583,22.9827,32.3
271.875,22.9827,32.5
271.8917,22.9827,32.7
271.9083,22.9827,33.1
271.925,22.9827,33.6
271.9417,22.9827,34.1
271.9583,22.9827,34.5
271.975,22.9827,34.8
271.9916,22.9827,34.7
272.0083,22.9827,34.0
272.025,22.9827,32.8
272.0417,22.9827,31.2
272.0583,22.9827,29.4
272.075,22.9827,27.3
272.0916,22.9827,24.8
272.1083,22.9827,22.2
272.125,22.9827,19.9
272.1417,22.9827,18.2
272.1583,22.9827,17.4
272.175,22.9827,16.8
272.1917,22.9827,16.1
272.2083,22.9827,15.7
272.225,22.9827,16.2
272.2416,22.9827,17.3
272.2583,22.9827,18.6
272.275,22.9827,19.9
272.2917,22.9827,21.4
272.3083,22.9827,22.9
272.325,22.9827,24.4
272.3416,22.9827,25.5
272.3583,22.9827,26.1
272.375,22.9827,26.2
272.3917,22.9827,26.2
272.4083,22.9827,26.2
272.425,22.9827,26.3
272.4417,22.9827,26.3
272.4583,22.9827,25.9
272.475,22.9827,25.2
272.4916,22.9827,24.0
272.5083,22.9827,22.5
272.525,22.9827,21.0
272.5417,22.9827,19.7
272.5583,22.9827,19.2
272.575,22.9827,19.3
272.5916,22.9827,20.0
272.6083,22.9827,21.2
272.625,22.9827,22.5
272.6417,22.9827,23.4
272.6583,22.9827,23.6
272.675,22.9827,23.0
272.6917,22.9827,22.2
272.7083,22.9827,22.1
272.725,22.9827,23.2
272.7416,22.9827,24.8
272.7583,22.9827,25.9
272.775,22.9827,26.1
272.7917,22.9827,25.3
272.8083,22.9827,24.4
272.825,22.9827,23.9
272.8416,22.9827,22.9
272.8583,22.9827,20.8
272.875,22.9827,18.0
272.8917,22.9827,15.5
272.9083,22.9827,13.4
272.925,22.9827,11.1
272.9417,22.9827,8.8
272.9583,22.9827,6.4
272.975,22.9827,4.0
272.9916,22.9827,1.8
273.0083,22.9827,0.5
273.025,22.9827,0.4
273.0417,22.9827,0.8
273.0583,22.9827,1.0
273.075,22.9827,1.2
273.0916,22.9827,1.9
273.1083,22.9827,3.3
273.125,22.9827,5.0
273.1417,22.9827,7.1
273.1583,22.9827,9.5
273.175,22.9827,12.3
273.1917,22.9827,14.9
273.2083,22.9827,17.0
273.225,22.9827,18.2
273.2416,22.9827,19.0
273.2583,22.9827,19.8
273.275,22.9827,20.8
273.2917,22.9827,22.1
273.3083,22.9827,23.0
273.325,22.9827,23.2
273.3416,22.9827,22.9
273.3583,22.9827,22.5
273.375,22.9827,22.0
273.3917,22.9827,21.4
273.4083,22.9827,20.8
273.425,22.9827,20.5
273.4417,22.9827,19.7
273.4583,22.9827,18.6
273.475,22.9827,18.3
273.4916,22.9827,19.8
273.5083,22.9827,22.2
273.525,22.9827,24.0
273.5417,22.9827,25.4
273.5583,22.9827,27.3
273.575,22.9827,29.4
273.5916,22.9827,31.5
273.6083,22.9827,33.4
273.625,22.9827,35.0
273.6417,22.9827,35.8
273.6583,22.9827,35.5
273.675,22.9827,34.6
273.6917,22.9827,34.0
273.7083,22.9827,34.1
273.725,22.9827,34.3
273.7416,22.9827,33.8
273.7583,22.9827,32.1
273.775,22.9827,30.1
273.7917,22.9827,28.7
273.8083,22.9827,27.7
273.825,22.9827,26.8
273.8416,22.9827,26.5
273.8583,22.9827,27.0
273.875,22.9827,27.9
273.8917,22.9827,28.3
273.9083,22.9827,28.8
273.925,22.9827,29.7
273.9417,22.9827,30.8
273.9583,22.9827,31.6
273.975,22.9827,31.7
273.9916,22.9827,31.6
274.0083,22.9827,32.3
274.025,22.9827,34.5
274.0417,22.9827,37.5
274.0583,22.9827,40.2
274.075,22.9827,42.2
274.0916,22.9827,43.6
274.1083,22.9827,44.8
274.125,22.9827,45.7
274.1417,22.9827,45.9
274.1583,22.9827,45.5
274.175,22.9827,44.8
274.1917,22.9827,44.6
274.2083,22.9827,44.7
274.225,22.9827,45.0
274.2416,22.9827,45.4
274.2583,22.9827,45.9
274.275,22.9827,46.0
274.2917,22.9827,45.7
274.3083,22.9827,45.7
274.325,22.9827,46.5
274.3416,22.9827,48.1
274.3583,22.9827,49.5
274.375,22.9827,50.2
274.3917,22.9827,49.8
274.4083,22.9827,48.4
274.425,22.9827,46.3
274.4417,22.9827,43.5
274.4583,22.9827,39.7
274.475,22.9827,34.8
274.4916,22.9827,28.8
274.5083,22.9827,21.9
274.525,22.9827,14.6
274.5417,22.9827,7.7
274.5583,22.9827,2.1
274.575,22.9827,-2.4
274.5916,22.9827,-5.9
274.6083,22.9827,-8.4
274.625,22.9827,-9.9
274.6417,22.9827,-10.8
274.6583,22.9827,-11.4
274.675,22.9827,-12.3
274.6917,22.9827,-13.7
274.7083,22.9827,-15.1
274.725,22.9827,-16.0
274.7416,22.9827,-16.1
274.7583,22.9827,-15.6
274.775,22.9827,-14.9
274.7917,22.9827,-14.5
274.8083,22.9827,-14.9
274.825,22.9827,-15.8
274.8416,22.9827,-16.2
274.8583,22.9827,-15.6
274.875,22.9827,-14.6
274.8917,22.9827,-14.3
274.9083,22.9827,-13.9
274.925,22.9827,-13.0
274.9417,22.9827,-12.4
274.9583,22.9827,-12.7
274.975,22.9827,-13.5
274.9916,22.9827,-13.6
275.0083,22.9827,-12.5
275.025,22.9827,-11.1
275.0417,22.9827,-10.6
275.0583,22.9827,-11.6
275.075,22.9827,-13.0
275.0916,22.9827,-13.2
275.1083,22.9827,-12.8
275.125,22.9827,-12.7
275.1417,22.9827,-13.0
275.1583,22.9827,-13.5
275.175,22.9827,-14.6
275.1917,22.9827,-16.7
275.2083,22.9827,-19.1
275.225,22.9827,-21.2
275.2416,22.9827,-23.1
275.2583,22.9827,-25.3
275.275,22.9827,-27.7
275.2917,22.9827,-29.5
275.3083,22.9827,-30.4
275.325,22.9827,-31.0
275.3416,22.9827,-31.9
275.3583,22.9827,-33.3
275.375,22.9827,-35.0
275.3917,22.9827,-36.6
275.4083,22.9827,-38.2
275.425,22.9827,-40.3
275.4417,22.9827,-42.7
275.4583,22.9827,-45.0
275.475,22.9827,-46.4
275.4916,22.9827,-46.7
275.5083,22.9827,-46.8
275.525,22.9827,-47.9
275.5417,22.9827,-49.9
275.5583,22.9827,-51.9
275.575,22.9827,-54.0
275.5916,22.9827,-56.3
275.6083,22.9827,-58.9
275.625,22.9827,-61.1
275.6417,22.9827,-62.2
275.6583,22.9827,-62.0
275.675,22.9827,-61.2
275.6917,22.9827,-60.6
275.7083,22.9827,-60.5
275.725,22.9827,-60.8
275.7416,22.9827,-61.1
275.7583,22.9827,-61.4
275.775,22.9827,-61.4
275.7917,22.9827,-60.9
275.8083,22.9827,-60.4
275.825,22.9827,-60.3
275.8416,22.9827,-60.2
275.8583,22.9827,-59.7
275.875,22.9827,-58.4
275.8917,22.9827,-56.3
275.9083,22.9827,-54.2
275.925,22.9827,-52.6
275.9417,22.9827,-51.6
275.9583,22.9827,-50.9
275.975,22.9827,-50.0
275.9916,22.9827,-48.5
276.0083,22.9827,-46.8
268.0083,22.9674,-55.2
268.025,22.9674,-55.9
268.0417,22.9674,-56.6
268.0583,22.9674,-57.7
268.075,22.9674,-58.9
268.0916,22.9674,-59.9
268.1083,22.9674,-60.7
268.125,22.9674,-61.5
268.1417,22.9674,-62.3
268.1583,22.9674,-62.8
268.175,22.9674,-63.2
268.1917,22.9674,-63.8
268.2083,22.9674,-64.6
268.225,22.9674,-65.4
268.2416,22.9674,-66.4
268.2583,22.9674,-67.4
268.275,22.9674,-68.4
268.2917,22.9674,-69.3
268.3083,22.9674,-70.3
268.325,22.9674,-71.4
268.3416,22.9674,-72.6
268.3583,22.9674,-73.6
268.375,22.9674,-74.5
268.3917,22.9674,-75.3
268.4083,22.9674,-76.4
268.425,22.9674,-77.5
268.4417,22.9674,-78.5
268.4583,22.9674,-79.3
268.475,22.9674,-80.2
268.4916,22.9674,-81.4
